"id";"disease_code";"disease_name";"year";"location";"age";"sex";"cases";"cases_100k";"population"
9165;"A98 (98.0- 98.5,A98.8)";"Other hemorrhagic fever";2014;"village";"15-17";"women";0;0.0;2943472
9166;"A98.3";"Marburg virus disease ";2014;"village";"15-17";"women";0;0.0;2943472
9167;"A98.4";"Ebola virus disease";2014;"village";"15-17";"women";0;0.0;2943472
9168;"A98.5";"Hemorrhagic fever with liver syndrome";2014;"village";"15-17";"women";0;0.0;2943472
9169;"A01(A01.0)";"Typhoid fever";2015;"village";"15-17";"women";0;0.0;2921262
9170;"A01(A01.1-A 01.4)";"Paratyphoid fever";2015;"village";"15-17";"women";0;0.0;2921262
9171;"A02(A02.0-A02.2, A02.8,A02.9)";"Salonellosis";2015;"village";"15-17";"women";2;0.07;2921262
9172;"A03(A03.0-A03.9)";"Shigellosis";2015;"village";"15-17";"women";0;0.0;2921262
9173;"A04(A04.0-A04.8)";"Bacterial gastrointestinal infections";2015;"village";"15-17";"women";2;0.07;2921262
9174;"A04(A04.0-A04.4)";"Bacterial gastrointestinal infections";2015;"village";"15-17";"women";0;0.0;2921262
9175;"A04(A04.3)";"E.coli infection";2015;"village";"15-17";"women";0;0.0;2921262
9176;"A04(A04.5)";"Bacterial gastrointestinal infections";2015;"village";"15-17";"women";2;0.07;2921262
9177;"A04(A04.6)";"Bacterial gastrointestinal infections";2015;"village";"15-17";"women";0;0.0;2921262
9178;"A04.9, A09";"Bacterial gastrointestinal infections";2015;"village";"15-17";"women";24;0.82;2921262
9179;"A08(A08.0-A08.3,A08.5)";"Virus gastrointestinal infections";2015;"village";"15-17";"women";8;0.27;2921262
9180;"A08(A08.0)";"Rotavirus gastroenteriti";2015;"village";"15-17";"women";5;0.17;2921262
9181;"A08(A08.1)";"Virus gastrointestinal infections";2015;"village";"15-17";"women";3;0.1;2921262
9182;"A08(A08.4)";"Virus gastrointestinal infections";2015;"village";"15-17";"women";77;2.64;2921262
9183;"A05(A05.0-A05.4, A05.8, A05.9)";"Other toxic infections";2015;"village";"15-17";"women";0;0.0;2921262
9184;"A15 (A15.0-A15.9),A19(A19.0-A19.2,A19.8,A19.9)";"Tuberculosis";2015;"village";"15-17";"women";7;0.24;2921262
9185;"A17, A18";"Tuberculosis";2015;"village";"15-17";"women";0;0.0;2921262
9186;"A21(A21.0-A21.3, A21.7-A21.9)";"Tularemia";2015;"village";"15-17";"women";0;0.0;2921262
9187;"A22(A22.0-A22.2, A22.7-A22.9)";"Anthrax";2015;"village";"15-17";"women";0;0.0;2921262
9188;"A23(A23.0-A23.3, A23.8,A23.9)";"Brucellosis";2015;"village";"15-17";"women";0;0.0;2921262
9189;"A27(A27.0,A27.8, A27.9)";"Leptospirosis";2015;"village";"15-17";"women";0;0.0;2921262
9190;"A28.2";"Yersinia pestis";2015;"village";"15-17";"women";0;0.0;2921262
9191;"A32(A32.0,A32.1,A32.7-A32.9)";"Listeriosis";2015;"village";"15-17";"women";0;0.0;2921262
9192;"A33,A34,A35";"Tetanus";2015;"village";"15-17";"women";0;0.0;2921262
9193;"A36(A36.0-A36.3, A36.8,A36.9)";"Diphtheria";2015;"village";"15-17";"women";0;0.0;2921262
9194;"A37(A37.0,A37.1, A37.8,
A37.9)";"Whooping cough";2015;"village";"15-17";"women";3;0.1;2921262
9195;"A38";"Scarlet fever";2015;"village";"15-17";"women";3;0.1;2921262
9196;"A39(A39.0-A39.5, A39.8,A39.9)";"Meningococcal disease";2015;"village";"15-17";"women";1;0.03;2921262
9197;"G00(G00.0-G00.3, G00.8,G00.9)";"Bacterial meningitis";2015;"village";"15-17";"women";0;0.0;2921262
9198;"A87(A87.0-A87.2, A87.8,A87.9)";"Virus meningitis";2015;"village";"15-17";"women";1;0.03;2921262
9199;"A40.3,J13";"Pneumococcal infection";2015;"village";"15-17";"women";0;0.0;2921262
9200;"A41.3, A49.2, G00.0, J14";"Haemophilus influenzae disease";2015;"village";"15-17";"women";0;0.0;2921262
9201;"A69.2";"Lyme disease";2015;"village";"15-17";"women";11;0.38;2921262
9202;"A70";"Chlamydia psittaci infection";2015;"village";"15-17";"women";0;0.0;2921262
9203;"A56(A56.0-A56.4,A56.8)";"Chlamydia";2015;"village";"15-17";"women";1;0.03;2921262
9204;"A75 (A75.0, A75.1)";"Epidemic Typhus";2015;"village";"15-17";"women";0;0.0;2921262
9205;"A80(A80.0-A80.4,A80.9)";"Poliomyelitis";2015;"village";"15-17";"women";0;0.0;2921262
9206;"A82(A82.0, A82.1, A82.9)";"Rabies";2015;"village";"15-17";"women";0;0.0;2921262
9207;"A84(A84.0, A84.1, A84.9)";"Tick-borne meningoencephalitis";2015;"village";"15-17";"women";1;0.03;2921262
9208;"B01(B01.0-B01.2,B01.8,B01.9)";"Chickenpox";2015;"village";"15-17";"women";63;2.16;2921262
9209;"B05(B05.0-B05.4,B05.8,B05.9)";"Measles";2015;"village";"15-17";"women";0;0.0;2921262
9210;"B06(B06.0,B06.8,B06.9)";"Rubella";2015;"village";"15-17";"women";0;0.0;2921262
9211;"P35.0";"Rubella congenital";2015;"village";"15-17";"women";0;0.0;2921262
9212;"B15-B19";"Virus hepatitis";2015;"village";"15-17";"women";0;0.0;2921262
9213;"B15(B15.0,B15.9)";"Hepatitis A";2015;"village";"15-17";"women";0;0.0;2921262
9214;"B16.2, B16.9";"Hepatitis B";2015;"village";"15-17";"women";0;0.0;2921262
9215;"B17.1";"Hepatitis C";2015;"village";"15-17";"women";0;0.0;2921262
9216;"B17.2";"Hepatitis E";2015;"village";"15-17";"women";0;0.0;2921262
9217;"B16.0,B16.1, B17.0";"Hepatitis D";2015;"village";"15-17";"women";0;0.0;2921262
9218;"B20, B21, B22, B24";"HIV";2015;"village";"15-17";"women";0;0.0;2921262
9219;"B23(B23.0-B23.2,B23.8)";"HIV related diseases";2015;"village";"15-17";"women";0;0.0;2921262
9220;"Z21";"HIV";2015;"village";"15-17";"women";0;0.0;2921262
9221;"A51-A53";"Syphilis";2015;"village";"15-17";"women";3;0.1;2921262
9222;"A50(A50.0-A50.7, A50.9)";"Congenital syphilis";2015;"village";"15-17";"women";0;0.0;2921262
9223;"A54(A54.0-A54.6,A54.8,A54.9)";"Gonococcal infection";2015;"village";"15-17";"women";0;0.0;2921262
9224;"B26(B26.0-B26.3,B26.8,B26.9)";"Mumps";2015;"village";"15-17";"women";0;0.0;2921262
9225;"B25(B25.0-B25.2, B25.8, B25.9)";"Cytomegalovirus diseases";2015;"village";"15-17";"women";1;0.03;2921262
9226;"P35.1";"Cytomegalovirus diseases congenital";2015;"village";"15-17";"women";0;0.0;2921262
9227;"B27(B27.0,B27.1,B27.8,B27.9)";"Infectious mononucleosis";2015;"village";"15-17";"women";3;0.1;2921262
9228;"J00-J06";"Upper respiratory tract infection";2015;"village";"15-17";"women";8939;306.0;2921262
9229;"J10,J11";"Influenza";2015;"village";"15-17";"women";201;6.88;2921262
9230;"A48.1, A48.2";"Legionellosis";2015;"village";"15-17";"women";0;0.0;2921262
9231;"A06(A06.0-A06.9), A07(A07.0, A07.3,A07.9)";"Amebiasis";2015;"village";"15-17";"women";0;0.0;2921262
9232;"A07.1";"Giardiasis";2015;"village";"15-17";"women";0;0.0;2921262
9233;"A07.2";"Cryptosporidiosis";2015;"village";"15-17";"women";0;0.0;2921262
9234;"B50,B51,B52,B53,B54";"Malaria";2015;"village";"15-17";"women";0;0.0;2921262
9235;"B58(B58.0-B58.3, B58.8,B58.9)";"Toxoplasmosis";2015;"village";"15-17";"women";0;0.0;2921262
9236;"P37.1";"Toxoplasmosis congenital";2015;"village";"15-17";"women";0;0.0;2921262
9237;"B67(B67.0-B67.9)";"Cystic echinocccosis";2015;"village";"15-17";"women";0;0.0;2921262
9238;"B68(B68.0, B68.1, B68.9)";"Taeniasis";2015;"village";"15-17";"women";0;0.0;2921262
9239;"B69(B69.0,B69.1,B69.8,B69.9)";"Cysticercosis";2015;"village";"15-17";"women";0;0.0;2921262
9240;"B70.0";"Diphyllobothriasis";2015;"village";"15-17";"women";0;0.0;2921262
9241;"B71.0";"Hymenolepiasis";2015;"village";"15-17";"women";0;0.0;2921262
9242;"B75";"Trichinellosis";2015;"village";"15-17";"women";0;0.0;2921262
9243;"B77(B77.0,B77.8, B77.9)";"Ascariasis";2015;"village";"15-17";"women";1;0.03;2921262
9244;"B79";"Trichuriasis";2015;"village";"15-17";"women";0;0.0;2921262
9245;"B80";"Enterobiasis";2015;"village";"15-17";"women";6;0.21;2921262
9246;"B83.0";"Toxocariasis";2015;"village";"15-17";"women";2;0.07;2921262
9247;"B55-B57,B65,B66, B72-B74,B78,B81";"Rare tropical infectious disease";2015;"village";"15-17";"women";0;0.0;2921262
9248;"B85";"Pediculosis (insects)";2015;"village";"15-17";"women";10;0.34;2921262
9249;"B86";"Scabies";2015;"village";"15-17";"women";32;1.1;2921262
9250;"B35(B35.0-B35.6, B35.8,B35.9)";"Dermatophytosis";2015;"village";"15-17";"women";13;0.45;2921262
9251;"A00(A00.0,A00.1,A00.9)";"Cholera";2015;"village";"15-17";"women";0;0.0;2921262
9252;"A20(A20.0-A20.3, A20.7-A20.9)";"Plague";2015;"village";"15-17";"women";0;0.0;2921262
9253;"B04";"Monkeypox";2015;"village";"15-17";"women";0;0.0;2921262
9254;"B03";"Smallpox";2015;"village";"15-17";"women";0;0.0;2921262
9255;"A78";"Q fever";2015;"village";"15-17";"women";0;0.0;2921262
9256;"A81.0";"Creutzfeldt-Jakob disease";2015;"village";"15-17";"women";0;0.0;2921262
9257;"A83(A83.0-A83.6, A83.8, A83.9)";"Mosquito encephalitis";2015;"village";"15-17";"women";0;0.0;2921262
9258;"A90";"Dengue fever";2015;"village";"15-17";"women";0;0.0;2921262
9259;"A91";"Dengue hemorrhagic fever";2015;"village";"15-17";"women";0;0.0;2921262
9260;"A92(A92.0-A92.2,A92.4,A92.8,A92.9)";"Others mosquito fevers";2015;"village";"15-17";"women";0;0.0;2921262
9261;"A95 (A95.0, A95.1,A95.9)";"Yellow fever";2015;"village";"15-17";"women";0;0.0;2921262
9262;"A96.2";"Lassa fever";2015;"village";"15-17";"women";0;0.0;2921262
9263;"A98 (98.0- 98.5,A98.8)";"Other hemorrhagic fever";2015;"village";"15-17";"women";0;0.0;2921262
9264;"A98.3";"Marburg virus disease ";2015;"village";"15-17";"women";0;0.0;2921262
9265;"A98.4";"Ebola virus disease";2015;"village";"15-17";"women";0;0.0;2921262
9266;"A98.5";"Hemorrhagic fever with liver syndrome";2015;"village";"15-17";"women";0;0.0;2921262
9267;"A01(A01.0)";"Typhoid fever";2016;"village";"15-17";"women";0;0.0;2888558
9268;"A01(A01.1-A 01.4)";"Paratyphoid fever";2016;"village";"15-17";"women";0;0.0;2888558
9269;"A02(A02.0-A02.2, A02.8,A02.9)";"Salonellosis";2016;"village";"15-17";"women";2;0.07;2888558
9270;"A03(A03.0-A03.9)";"Shigellosis";2016;"village";"15-17";"women";0;0.0;2888558
9271;"A04(A04.0-A04.8)";"Bacterial gastrointestinal infections";2016;"village";"15-17";"women";4;0.14;2888558
9272;"A04(A04.0-A04.4)";"Bacterial gastrointestinal infections";2016;"village";"15-17";"women";0;0.0;2888558
9273;"A04(A04.3)";"E.coli infection";2016;"village";"15-17";"women";0;0.0;2888558
9274;"A04(A04.5)";"Bacterial gastrointestinal infections";2016;"village";"15-17";"women";4;0.14;2888558
9275;"A04(A04.6)";"Bacterial gastrointestinal infections";2016;"village";"15-17";"women";0;0.0;2888558
9276;"A04.9, A09";"Bacterial gastrointestinal infections";2016;"village";"15-17";"women";37;1.28;2888558
9277;"A08(A08.0-A08.3,A08.5)";"Virus gastrointestinal infections";2016;"village";"15-17";"women";11;0.38;2888558
9278;"A08(A08.0)";"Rotavirus gastroenteriti";2016;"village";"15-17";"women";7;0.24;2888558
9279;"A08(A08.1)";"Virus gastrointestinal infections";2016;"village";"15-17";"women";4;0.14;2888558
9280;"A08(A08.4)";"Virus gastrointestinal infections";2016;"village";"15-17";"women";79;2.73;2888558
9281;"A05(A05.0-A05.4, A05.8, A05.9)";"Other toxic infections";2016;"village";"15-17";"women";0;0.0;2888558
9282;"A15 (A15.0-A15.9),A19(A19.0-A19.2,A19.8,A19.9)";"Tuberculosis";2016;"village";"15-17";"women";2;0.07;2888558
9283;"A17, A18";"Tuberculosis";2016;"village";"15-17";"women";0;0.0;2888558
9284;"A21(A21.0-A21.3, A21.7-A21.9)";"Tularemia";2016;"village";"15-17";"women";0;0.0;2888558
9285;"A22(A22.0-A22.2, A22.7-A22.9)";"Anthrax";2016;"village";"15-17";"women";0;0.0;2888558
9286;"A23(A23.0-A23.3, A23.8,A23.9)";"Brucellosis";2016;"village";"15-17";"women";0;0.0;2888558
9287;"A27(A27.0,A27.8, A27.9)";"Leptospirosis";2016;"village";"15-17";"women";1;0.03;2888558
9288;"A28.2";"Yersinia pestis";2016;"village";"15-17";"women";0;0.0;2888558
9289;"A32(A32.0,A32.1,A32.7-A32.9)";"Listeriosis";2016;"village";"15-17";"women";0;0.0;2888558
9290;"A33,A34,A35";"Tetanus";2016;"village";"15-17";"women";0;0.0;2888558
9291;"A36(A36.0-A36.3, A36.8,A36.9)";"Diphtheria";2016;"village";"15-17";"women";0;0.0;2888558
9292;"A37(A37.0,A37.1, A37.8,
A37.9)";"Whooping cough";2016;"village";"15-17";"women";1;0.03;2888558
9293;"A38";"Scarlet fever";2016;"village";"15-17";"women";2;0.07;2888558
9294;"A39(A39.0-A39.5, A39.8,A39.9)";"Meningococcal disease";2016;"village";"15-17";"women";0;0.0;2888558
9295;"G00(G00.0-G00.3, G00.8,G00.9)";"Bacterial meningitis";2016;"village";"15-17";"women";0;0.0;2888558
9296;"A87(A87.0-A87.2, A87.8,A87.9)";"Virus meningitis";2016;"village";"15-17";"women";0;0.0;2888558
9297;"A40.3,J13";"Pneumococcal infection";2016;"village";"15-17";"women";0;0.0;2888558
9298;"A41.3, A49.2, G00.0, J14";"Haemophilus influenzae disease";2016;"village";"15-17";"women";0;0.0;2888558
9299;"A69.2";"Lyme disease";2016;"village";"15-17";"women";14;0.48;2888558
9300;"A70";"Chlamydia psittaci infection";2016;"village";"15-17";"women";0;0.0;2888558
9301;"A56(A56.0-A56.4,A56.8)";"Chlamydia";2016;"village";"15-17";"women";1;0.03;2888558
9302;"A75 (A75.0, A75.1)";"Epidemic Typhus";2016;"village";"15-17";"women";0;0.0;2888558
9303;"A80(A80.0-A80.4,A80.9)";"Poliomyelitis";2016;"village";"15-17";"women";0;0.0;2888558
9304;"A82(A82.0, A82.1, A82.9)";"Rabies";2016;"village";"15-17";"women";0;0.0;2888558
9305;"A84(A84.0, A84.1, A84.9)";"Tick-borne meningoencephalitis";2016;"village";"15-17";"women";1;0.03;2888558
9306;"B01(B01.0-B01.2,B01.8,B01.9)";"Chickenpox";2016;"village";"15-17";"women";79;2.73;2888558
9307;"B05(B05.0-B05.4,B05.8,B05.9)";"Measles";2016;"village";"15-17";"women";0;0.0;2888558
9308;"B06(B06.0,B06.8,B06.9)";"Rubella";2016;"village";"15-17";"women";0;0.0;2888558
9309;"P35.0";"Rubella congenital";2016;"village";"15-17";"women";0;0.0;2888558
9310;"B15-B19";"Virus hepatitis";2016;"village";"15-17";"women";0;0.0;2888558
9311;"B15(B15.0,B15.9)";"Hepatitis A";2016;"village";"15-17";"women";0;0.0;2888558
9312;"B16.2, B16.9";"Hepatitis B";2016;"village";"15-17";"women";0;0.0;2888558
9313;"B17.1";"Hepatitis C";2016;"village";"15-17";"women";0;0.0;2888558
9314;"B17.2";"Hepatitis E";2016;"village";"15-17";"women";0;0.0;2888558
9315;"B16.0,B16.1, B17.0";"Hepatitis D";2016;"village";"15-17";"women";0;0.0;2888558
9316;"B20, B21, B22, B24";"HIV";2016;"village";"15-17";"women";0;0.0;2888558
9317;"B23(B23.0-B23.2,B23.8)";"HIV related diseases";2016;"village";"15-17";"women";0;0.0;2888558
9318;"Z21";"HIV";2016;"village";"15-17";"women";1;0.03;2888558
9319;"A51-A53";"Syphilis";2016;"village";"15-17";"women";0;0.0;2888558
9320;"A50(A50.0-A50.7, A50.9)";"Congenital syphilis";2016;"village";"15-17";"women";0;0.0;2888558
9321;"A54(A54.0-A54.6,A54.8,A54.9)";"Gonococcal infection";2016;"village";"15-17";"women";0;0.0;2888558
9322;"B26(B26.0-B26.3,B26.8,B26.9)";"Mumps";2016;"village";"15-17";"women";0;0.0;2888558
9323;"B25(B25.0-B25.2, B25.8, B25.9)";"Cytomegalovirus diseases";2016;"village";"15-17";"women";0;0.0;2888558
9324;"P35.1";"Cytomegalovirus diseases congenital";2016;"village";"15-17";"women";0;0.0;2888558
9325;"B27(B27.0,B27.1,B27.8,B27.9)";"Infectious mononucleosis";2016;"village";"15-17";"women";4;0.14;2888558
9326;"J00-J06";"Upper respiratory tract infection";2016;"village";"15-17";"women";8590;297.38;2888558
9327;"J10,J11";"Influenza";2016;"village";"15-17";"women";301;10.42;2888558
9328;"A48.1, A48.2";"Legionellosis";2016;"village";"15-17";"women";0;0.0;2888558
9329;"A06(A06.0-A06.9), A07(A07.0, A07.3,A07.9)";"Amebiasis";2016;"village";"15-17";"women";0;0.0;2888558
9330;"A07.1";"Giardiasis";2016;"village";"15-17";"women";0;0.0;2888558
9331;"A07.2";"Cryptosporidiosis";2016;"village";"15-17";"women";0;0.0;2888558
9332;"B50,B51,B52,B53,B54";"Malaria";2016;"village";"15-17";"women";0;0.0;2888558
9333;"B58(B58.0-B58.3, B58.8,B58.9)";"Toxoplasmosis";2016;"village";"15-17";"women";0;0.0;2888558
9334;"P37.1";"Toxoplasmosis congenital";2016;"village";"15-17";"women";0;0.0;2888558
9335;"B67(B67.0-B67.9)";"Cystic echinocccosis";2016;"village";"15-17";"women";0;0.0;2888558
9336;"B68(B68.0, B68.1, B68.9)";"Taeniasis";2016;"village";"15-17";"women";0;0.0;2888558
9337;"B69(B69.0,B69.1,B69.8,B69.9)";"Cysticercosis";2016;"village";"15-17";"women";0;0.0;2888558
9338;"B70.0";"Diphyllobothriasis";2016;"village";"15-17";"women";0;0.0;2888558
9339;"B71.0";"Hymenolepiasis";2016;"village";"15-17";"women";0;0.0;2888558
9340;"B75";"Trichinellosis";2016;"village";"15-17";"women";0;0.0;2888558
9341;"B77(B77.0,B77.8, B77.9)";"Ascariasis";2016;"village";"15-17";"women";1;0.03;2888558
9342;"B79";"Trichuriasis";2016;"village";"15-17";"women";0;0.0;2888558
9343;"B80";"Enterobiasis";2016;"village";"15-17";"women";5;0.17;2888558
9344;"B83.0";"Toxocariasis";2016;"village";"15-17";"women";2;0.07;2888558
9345;"B55-B57,B65,B66, B72-B74,B78,B81";"Rare tropical infectious disease";2016;"village";"15-17";"women";0;0.0;2888558
9346;"B85";"Pediculosis (insects)";2016;"village";"15-17";"women";21;0.73;2888558
9347;"B86";"Scabies";2016;"village";"15-17";"women";26;0.9;2888558
9348;"B35(B35.0-B35.6, B35.8,B35.9)";"Dermatophytosis";2016;"village";"15-17";"women";11;0.38;2888558
9349;"A00(A00.0,A00.1,A00.9)";"Cholera";2016;"village";"15-17";"women";0;0.0;2888558
9350;"A20(A20.0-A20.3, A20.7-A20.9)";"Plague";2016;"village";"15-17";"women";0;0.0;2888558
9351;"B04";"Monkeypox";2016;"village";"15-17";"women";0;0.0;2888558
9352;"B03";"Smallpox";2016;"village";"15-17";"women";0;0.0;2888558
9353;"A78";"Q fever";2016;"village";"15-17";"women";0;0.0;2888558
9354;"A81.0";"Creutzfeldt-Jakob disease";2016;"village";"15-17";"women";0;0.0;2888558
9355;"A83(A83.0-A83.6, A83.8, A83.9)";"Mosquito encephalitis";2016;"village";"15-17";"women";0;0.0;2888558
9356;"A90";"Dengue fever";2016;"village";"15-17";"women";0;0.0;2888558
9357;"A91";"Dengue hemorrhagic fever";2016;"village";"15-17";"women";0;0.0;2888558
9358;"A92(A92.0-A92.2,A92.4,A92.8,A92.9)";"Others mosquito fevers";2016;"village";"15-17";"women";0;0.0;2888558
9359;"A95 (A95.0, A95.1,A95.9)";"Yellow fever";2016;"village";"15-17";"women";0;0.0;2888558
9360;"A96.2";"Lassa fever";2016;"village";"15-17";"women";0;0.0;2888558
9361;"A98 (98.0- 98.5,A98.8)";"Other hemorrhagic fever";2016;"village";"15-17";"women";0;0.0;2888558
9362;"A98.3";"Marburg virus disease ";2016;"village";"15-17";"women";0;0.0;2888558
9363;"A98.4";"Ebola virus disease";2016;"village";"15-17";"women";0;0.0;2888558
9364;"A98.5";"Hemorrhagic fever with liver syndrome";2016;"village";"15-17";"women";0;0.0;2888558
9365;"A01(A01.0)";"Typhoid fever";2017;"village";"15-17";"women";0;0.0;2847904
9366;"A01(A01.1-A 01.4)";"Paratyphoid fever";2017;"village";"15-17";"women";0;0.0;2847904
9367;"A02(A02.0-A02.2, A02.8,A02.9)";"Salonellosis";2017;"village";"15-17";"women";3;0.11;2847904
9368;"A03(A03.0-A03.9)";"Shigellosis";2017;"village";"15-17";"women";0;0.0;2847904
9369;"A04(A04.0-A04.8)";"Bacterial gastrointestinal infections";2017;"village";"15-17";"women";5;0.18;2847904
9370;"A04(A04.0-A04.4)";"Bacterial gastrointestinal infections";2017;"village";"15-17";"women";0;0.0;2847904
9371;"A04(A04.3)";"E.coli infection";2017;"village";"15-17";"women";0;0.0;2847904
9372;"A04(A04.5)";"Bacterial gastrointestinal infections";2017;"village";"15-17";"women";3;0.11;2847904
9373;"A04(A04.6)";"Bacterial gastrointestinal infections";2017;"village";"15-17";"women";1;0.04;2847904
9374;"A04.9, A09";"Bacterial gastrointestinal infections";2017;"village";"15-17";"women";24;0.84;2847904
9375;"A08(A08.0-A08.3,A08.5)";"Virus gastrointestinal infections";2017;"village";"15-17";"women";11;0.39;2847904
9376;"A08(A08.0)";"Rotavirus gastroenteriti";2017;"village";"15-17";"women";8;0.28;2847904
9377;"A08(A08.1)";"Virus gastrointestinal infections";2017;"village";"15-17";"women";3;0.11;2847904
9378;"A08(A08.4)";"Virus gastrointestinal infections";2017;"village";"15-17";"women";59;2.07;2847904
9379;"A05(A05.0-A05.4, A05.8, A05.9)";"Other toxic infections";2017;"village";"15-17";"women";0;0.0;2847904
9380;"A15 (A15.0-A15.9),A19(A19.0-A19.2,A19.8,A19.9)";"Tuberculosis";2017;"village";"15-17";"women";3;0.11;2847904
9381;"A17, A18";"Tuberculosis";2017;"village";"15-17";"women";0;0.0;2847904
9382;"A21(A21.0-A21.3, A21.7-A21.9)";"Tularemia";2017;"village";"15-17";"women";0;0.0;2847904
9383;"A22(A22.0-A22.2, A22.7-A22.9)";"Anthrax";2017;"village";"15-17";"women";0;0.0;2847904
9384;"A23(A23.0-A23.3, A23.8,A23.9)";"Brucellosis";2017;"village";"15-17";"women";0;0.0;2847904
9385;"A27(A27.0,A27.8, A27.9)";"Leptospirosis";2017;"village";"15-17";"women";0;0.0;2847904
9386;"A28.2";"Yersinia pestis";2017;"village";"15-17";"women";0;0.0;2847904
9387;"A32(A32.0,A32.1,A32.7-A32.9)";"Listeriosis";2017;"village";"15-17";"women";0;0.0;2847904
9388;"A33,A34,A35";"Tetanus";2017;"village";"15-17";"women";0;0.0;2847904
9389;"A36(A36.0-A36.3, A36.8,A36.9)";"Diphtheria";2017;"village";"15-17";"women";0;0.0;2847904
9390;"A37(A37.0,A37.1, A37.8,
A37.9)";"Whooping cough";2017;"village";"15-17";"women";0;0.0;2847904
9391;"A38";"Scarlet fever";2017;"village";"15-17";"women";2;0.07;2847904
9392;"A39(A39.0-A39.5, A39.8,A39.9)";"Meningococcal disease";2017;"village";"15-17";"women";1;0.04;2847904
9393;"G00(G00.0-G00.3, G00.8,G00.9)";"Bacterial meningitis";2017;"village";"15-17";"women";0;0.0;2847904
9394;"A87(A87.0-A87.2, A87.8,A87.9)";"Virus meningitis";2017;"village";"15-17";"women";0;0.0;2847904
9395;"A40.3,J13";"Pneumococcal infection";2017;"village";"15-17";"women";0;0.0;2847904
9396;"A41.3, A49.2, G00.0, J14";"Haemophilus influenzae disease";2017;"village";"15-17";"women";0;0.0;2847904
9397;"A69.2";"Lyme disease";2017;"village";"15-17";"women";10;0.35;2847904
9398;"A70";"Chlamydia psittaci infection";2017;"village";"15-17";"women";0;0.0;2847904
9399;"A56(A56.0-A56.4,A56.8)";"Chlamydia";2017;"village";"15-17";"women";1;0.04;2847904
9400;"A75 (A75.0, A75.1)";"Epidemic Typhus";2017;"village";"15-17";"women";0;0.0;2847904
9401;"A80(A80.0-A80.4,A80.9)";"Poliomyelitis";2017;"village";"15-17";"women";0;0.0;2847904
9402;"A82(A82.0, A82.1, A82.9)";"Rabies";2017;"village";"15-17";"women";0;0.0;2847904
9403;"A84(A84.0, A84.1, A84.9)";"Tick-borne meningoencephalitis";2017;"village";"15-17";"women";0;0.0;2847904
9404;"B01(B01.0-B01.2,B01.8,B01.9)";"Chickenpox";2017;"village";"15-17";"women";79;2.77;2847904
9405;"B05(B05.0-B05.4,B05.8,B05.9)";"Measles";2017;"village";"15-17";"women";0;0.0;2847904
9406;"B06(B06.0,B06.8,B06.9)";"Rubella";2017;"village";"15-17";"women";0;0.0;2847904
9407;"P35.0";"Rubella congenital";2017;"village";"15-17";"women";0;0.0;2847904
9408;"B15-B19";"Virus hepatitis";2017;"village";"15-17";"women";0;0.0;2847904
9409;"B15(B15.0,B15.9)";"Hepatitis A";2017;"village";"15-17";"women";0;0.0;2847904
9410;"B16.2, B16.9";"Hepatitis B";2017;"village";"15-17";"women";0;0.0;2847904
9411;"B17.1";"Hepatitis C";2017;"village";"15-17";"women";0;0.0;2847904
9412;"B17.2";"Hepatitis E";2017;"village";"15-17";"women";0;0.0;2847904
9413;"B16.0,B16.1, B17.0";"Hepatitis D";2017;"village";"15-17";"women";0;0.0;2847904
9414;"B20, B21, B22, B24";"HIV";2017;"village";"15-17";"women";0;0.0;2847904
9415;"B23(B23.0-B23.2,B23.8)";"HIV related diseases";2017;"village";"15-17";"women";1;0.04;2847904
9416;"Z21";"HIV";2017;"village";"15-17";"women";0;0.0;2847904
9417;"A51-A53";"Syphilis";2017;"village";"15-17";"women";0;0.0;2847904
9418;"A50(A50.0-A50.7, A50.9)";"Congenital syphilis";2017;"village";"15-17";"women";0;0.0;2847904
9419;"A54(A54.0-A54.6,A54.8,A54.9)";"Gonococcal infection";2017;"village";"15-17";"women";0;0.0;2847904
9420;"B26(B26.0-B26.3,B26.8,B26.9)";"Mumps";2017;"village";"15-17";"women";0;0.0;2847904
9421;"B25(B25.0-B25.2, B25.8, B25.9)";"Cytomegalovirus diseases";2017;"village";"15-17";"women";0;0.0;2847904
9422;"P35.1";"Cytomegalovirus diseases congenital";2017;"village";"15-17";"women";0;0.0;2847904
9423;"B27(B27.0,B27.1,B27.8,B27.9)";"Infectious mononucleosis";2017;"village";"15-17";"women";12;0.42;2847904
9424;"J00-J06";"Upper respiratory tract infection";2017;"village";"15-17";"women";9169;321.96;2847904
9425;"J10,J11";"Influenza";2017;"village";"15-17";"women";329;11.55;2847904
9426;"A48.1, A48.2";"Legionellosis";2017;"village";"15-17";"women";0;0.0;2847904
9427;"A06(A06.0-A06.9), A07(A07.0, A07.3,A07.9)";"Amebiasis";2017;"village";"15-17";"women";0;0.0;2847904
9428;"A07.1";"Giardiasis";2017;"village";"15-17";"women";0;0.0;2847904
9429;"A07.2";"Cryptosporidiosis";2017;"village";"15-17";"women";0;0.0;2847904
9430;"B50,B51,B52,B53,B54";"Malaria";2017;"village";"15-17";"women";0;0.0;2847904
9431;"B58(B58.0-B58.3, B58.8,B58.9)";"Toxoplasmosis";2017;"village";"15-17";"women";0;0.0;2847904
9432;"P37.1";"Toxoplasmosis congenital";2017;"village";"15-17";"women";0;0.0;2847904
